N	Especie	Apendice	Categoria_nacional	UICN	Nativa_Endemica	Nombre_comun	Sinonimos	Autor	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
						Rana de punta de flecha												
45	Ranitomeya variabilis 16	II	-	DD	Nativa	variable, rana venenosa de	Dendrobates variabilis	(Zimmermann &										
								Zimmermann, 1988)										
						ZImmermann												
							Andinobates minutus											
							ventrimaculatus											
							Dendrobates variabilis											
46	Ranitomeya ventrimaculata	II	-	LC	Nativa	Rana venenosa amazónica	Dendrobates	(Shreve, 1935)										
							ventrimaculatus											
							D. dendrobates											
							duellmani											
								Pérez-Peña, Chávez,										
47	Ranitomeya yavaricola	II	-	-	Endémica	Rana venenosa del Yavarí		Twomey & Brown,										
								2010										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
48	Telmatobius culeus17	I	CR	CR	Nativa	Rana gigante del Lago	Telmatobius albiventris	(Garman, 1875)										
						Titicaca, rana del Titicaca	Telmatobius crawfordi											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Sparvius bicolor											
49	Accipiter bicolor	II	-	LC	Nativa	Gavilán bicolor		(Vieillot, 1817)										
							Accipiter chilensis											
						Gavilán												
50	Accipiter collaris	II	VU	NT	Nativa			Sclater, 1860										
						semiacollarado												
						Gavilán de vientre												
51	Accipiter poliogaster	II	-	NT	Nativa		Falco poliogaster	(Temminck, 1824)										
						gris												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
			-				Accipiter ventralis											
52	Accipiter striatus	II		LC	Nativa	Gavilán pajarero	Accipiter erythronemius	Vieillot, 1807										
							Accipiter chionogaster											
			-															
53	Accipiter superciliosus	II		LC	Nativa	Gavilán enano	Falco superciliosus	(Linnaeus, 1766)										
			-			Gavilán de ciénaga,												
54	Busarellus nigricollis	II		LC	Nativa		Falco nigricollis	(Latham, 1790)										
						mamavieja												
			-			Aguilucho de												
55	Buteo albigula	II		LC	Nativa		Buteo brachyurus albigula	Philippi, 1899										
						garganta blanca												
			-			Aguilucho de cola												
56	Buteo albonotatus	II		LC	Nativa			Kaup, 1847										
						fajeada												
			-			Aguilucho de cola												
57	Buteo brachyurus	II		LC	Nativa			Vieillot, 1816										
						corta												
							Asturina nitida											
						Gavilán gris,												
58	Buteo nitidus	II	-	LC	Nativa		Falco nitidus	(Latham, 1790)										
						gavilán gris lineado												
							Asturina plagiata											
						Aguilucho de ala												
59	Buteo platypterus	II	-	LC	Nativa		Sparvius platypterus	(Vieillot, 1823)										
						blanca												
						Aguilucho de												
60	Buteo swainsoni	II	-	LC	Nativa			Bonaparte, 1838										
						Swainson												
61	Buteogallus anthracinus	II	VU	LC	Nativa	Gavilán cangrejero	Buteogallus subtilis	(Thayer & Bangs, 1905)										
							Heterospizias meridionalis											
62	Buteogallus meridionalis	II	-	LC	Nativa	Gavilán sabanero		(Latham, 1790)										
							Falco meridionalis											
							Leucopternis schistaceus											
63	Buteogallus schistaceus	II	-	LC	Nativa	Gavilán pizarroso	Asturina schistacea	(Sundevall, 1851)										
							Leucopternis schistacea											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Harpyhaliaetus solitarius											
64	Buteogallus solitarius18	II	-	NT	Nativa	Águila solitaria		(Tschudi, 1844)										
							Circaetus solitarius											
65	Buteogallus urubitinga	II	-	LC	Nativa	Gavilán negro	Falco urubitinga	(Gmelin, 1788)										
						Elanio de pico												
66	Chondrohierax uncinatus	II	-	LC	Nativa		Falco uncinatus	(Temminck, 1822)										
						ganchudo												
67	Circus cinereus	II	-	LC	Nativa	Aguilucho cenizo		Vieillot, 1816										
68	Elanoides forficatus	II	-	LC	Nativa	Gavilán tijereta		(Linnaeus, 1758)										
69	Elanus leucurus 19	II	-	LC	Nativa	Elanio de cola	Milvus leucurus	(Vieillot, 1818)										
						blanca	Elanus caeruleus leucurus											
70	Gampsonyx swainsonii	II	-	LC	Nativa	Elanio perla		Vigors, 1825										
71	Geranoaetus albicaudatus 20	II	-	LC	Nativa	Aguilucho de cola	Buteo albicaudatus	(Vieillot, 1816)										
						blanca												
						Aguilucho de												
								(Vieillot, 1819)										
72	Geranoaetus melanoleucus	II	-	LC	Nativa	pecho negro,	Spizaetus melanoleucus											
						aguilucho grande												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
			-				Buteo polyosoma											
73	Geranoaetus polyosoma	II		LC	Nativa	Aguilucho variable	Buteo poecilochrous	(Quoy & Gaimard, 1824)										
							Falco polyosoma											
			-															
74	Geranospiza caerulescens	II		LC	Nativa	Gavilán zancón	Sparvius caerulescens	(Vieillot, 1817)										
		II	-															
75	Harpagus bidentatus			LC	Nativa	Elanio bidentado	Falco bidentatus	(Latham, 1790)										
						Águila arpía,												
76	Harpia harpyja	I	VU	NT	Nativa		Vultur harpyja	(Linnaeus, 1758)										
						harpía, arpía												
						Elanio de pico	Rostrhamus hamatus											
77	Helicolestes hamatus	II	-	LC	Nativa			(Temminck, 1821)										
						delgado	Falco hamatus											
						Elanio de												
78	Ictinia mississippiensis21	II	-	LC	Nativa		Falco mississippiensis	(Wilson, 1811)										
						Mississippi												
79	Ictinia plumbea	II	-	LC	Nativa	Elanio plomizo	Falco plumbeus	(Gmelin, 1788)										
							Leptodon forbesi											
						Elanio de cabeza												
80	Leptodon cayanensis		-	LC	Nativa		Falco cayanensis	(Latham, 1790)										
		II				gris												
							Odontriorchis forbesi											
						Gavilán de ceja												
81	Leucopternis kuhli	II	-	LC	Nativa			Bonaparte, 1850										
						blanca												
						Gavilán de cara												
82	Leucopternis melanops	II	-	LC	Nativa		Falco melanops	(Latham, 1790)										
						negra												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
83	Morphnarchus princeps22	II	-	LC	Nativa	Gavilán barrado	Leucopternis princeps	(Sclater, 1865)										
						Águila crestada,												
84	Morphnus guianensis	II	VU	NT	Nativa	arpía menor,	Falco guianensis	(Daudin, 1800)										
						harpía menor												
						Aguilucho de lomo	Falco leucorrhous											
85	Parabuteo leucorrhous	II	-	LC	Nativa			(Quoy & Gaimard, 1824)										
						blanco	Buteo leucorrhous											
						Gavilán acanelado,												
