N	Especie	Apendice	Categoria_nacional	UICN	Nativa_Endemica	Nombre_comun	Sinonimos	Autor	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
181	Metallura theresiae	II	-	LC	Endémica	Colibrí cobrizo		Simon, 1902										
182	Metallura tyrianthina	II	-	LC	Nativa	Colibrí tirio	Trochilus tyrianthinus	(Loddiges, 1832)										
183	Myrmia micrura	II	-	LC	Nativa	Estrellita de cola corta	Calothorax micrurus	(Gould, 1854)										
						Estrellita de color												
184	Myrtis fanny	II	-	LC	Nativa		Ornismya fanny	(Lesson, 1838)										
						púrpura												
185	Ocreatus underwoodii30	II	-	LC	Nativa	Colibrí cola de raqueta	Ornismya underwoodii	(Lesson, 1832)										
						Colibrí pico de												
186	Opisthoprora euryptera	II	-	LC	Nativa		Trochilus eurypterus	(Loddiges, 1832)										
						avoceta												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Montañes barbudo,												
187	Oreonympha nobilis	II	-	LC	Endémica			Gould, 1869										
						colibrí noble												
		II				Colibrí puneño,		(d'Orbigny & Lafresnaye,										
188	Oreotrochilus estella		-	LC	Nativa													
						estrella andina		1838)										
		II				Estrella de pecho												
189	Oreotrochilus melanogaster		-	LC	Endémica			Gould, 1847										
						negro												
190	Patagona gigas	II	-	LC	Nativa	Colibrí gigante	Trochilus gigas	(Vieillot, 1824)										
		II				Ermitaño de garganta												
191	Phaethornis atrimentalis		-	LC	Nativa			Lawrence, 1858										
						negra												
		II				Ermitaño de pico												
192	Phaethornis bourcieri		-	LC	Nativa		Trochilus bourcieri	(Lesson, 1832)										
						recto												
		II				Ermitaño de barbilla	Phaethornis porcullae											
193	Phaethornis griseogularis		-	LC	Nativa			Gould, 1851										
						gris	Phaethornis zonura											
194	Phaethornis guy	II	-	LC	Nativa	Ermitaño verde	Trochilus guy	(Lesson, 1833)										
						Ermitaño de barba												
195	Phaethornis hispidus	II	-	LC	Nativa		Trochilus hispidus	(Gould, 1846)										
						blanca												
196	Phaethornis koepckeae	II	NT	NT	Endémica	Ermitaño de Koepcke		Weske & Terborgh, 1977										
					Nativa	Ermitaño de pico												
197	Phaethornis longirostris	II	-	LC			Phaethornis baroni	(DeLattre, 1843)										
						largo												
							Phaethornis margarettae											
						Ermitaño de pico	P. ochraceiventris											
198	Phaethornis malaris	II	-	LC	Nativa			(Nordmann, 1835)										
						grande	camargoim											
							Trochilus malaris											
		II			Nativa	Ermitaño de pico												
199	Phaethornis philippii		-	LC			Trochilus philippii	(Bourcier, 1847)										
						aguja												
200	Phaethornis pretrei	II	-	LC	Nativa	Ermitaño del Planalto	Trochilus pretrei	(Lesson & DeLattre, 1839)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
201	Phaethornis ruber	II	-	LC	Nativa	Ermitaño rojizo	Trochilus ruber	(Linnaeus, 1758)										
					Nativa	Ermitaño de ceja												
202	Phaethornis stuarti	II	-	LC				Hartert, 1897										
						blanca												
						Ermitaño de vientre												
203	Phaethornis syrmatophorus	II	-	LC	Nativa			Gould, 1851										
						leonado												
								Berlepsch & Stolzmann,										
204	Phlogophilus harterti	II	NT	NT	Endémica	Cola-pintada peruano												
								1901										
						Cola-pintada												
205	Phlogophilus hemileucurus	II	NT	VU	Nativa			Gould, 1860										
						ecuatoriano												
						Cometa de cola												
206	Polyonymus caroli	II	-	LC	Endémica		Trochilus caroli	(Bourcier, 1847)										
						bronceada												
						Garganta-de-oro de												
207	Polytmus guainumbi	II	-	LC	Nativa		Trochilus guainumbi	(Pallas, 1764)										
						cola blanca												
						Garganta-de-oro de	Smaragdites theresiae											
208	Polytmus theresiae	II	-	LC	Nativa			(Da Silva Maia, 1843)										
						cola verde	Ornismya theresiae											
209	Pterophanes cyanopterus	II	-	LC	Nativa	Ala-zafiro grande	Trochilus cyanopterus	(Fraser, 1839)										
	Ramphomicron					Pico-espina de dorso												
210		II	-	LC	Nativa		Ornismya microrhyncha	(Boissonneau, 1839)										
	microrhynchum					púpura												
211	Rhodopis vesper	II	-	LC	Nativa	Colibrí de oasis	Ornismya vesper	(Lesson, 1829)										
						Colibrí de pico cuña	Trochilus geoffroyi											
212	Schistes geoffroyi	II	-	LC	Nativa			(Bourcier, 1843)										
							Augastes geoffroyi											
213	Taphrolesbia griseiventris	II	CR	EN	Endémica	Cometa de vientre gris	Cynanthus griseiventris	(Taczanowski, 1883)										
							Leucippus hypostictus											
214	Taphrospilus hypostictus	II	-	LC	Nativa	Colibrí multipunteado	Aphantochroa hyposticta	(Gould, 1862)										
							Talaphorus hypostictus											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Ornismya colombica											
						Tucusito coronado,												
215	Thalurania colombica31	II	-	LC	Nativa		Thalurania furcata	(Bourcier, 1843)										
						ninfa coronada												
							colombica											
						Ninfa de cola												
216	Thalurania furcata	II	-	LC	Nativa		Trochilus furcatus	(Gmelin, 1788)										
						ahorquillada												
217	Thaumastura cora	II	-	LC	Nativa	Colibrí de Cora	Orthorhyncus cora	(Lesson, 1827)										
							Threnetes cristinae / T.											
							niger											
						Ermitaño de cola												
217	Threnetes leucurus	II	-	LC	Nativa		T. loehkeni / Trochilus	(Linnaeus, 1758)										
						pálida												
							leucurus											
							Trochilus niger											
219	Topaza pyra	II	-	LC	Nativa	Topacio de fuego	Trochilus pyra	(Gould, 1846)										
220	Urochroa bougueri	II	-	LC	Nativa	Estrella de cola blanca	Trochilus bougueri	(Bourcier, 1851)										
						Colibrí de subcaudales												
221	Urosticte ruficrissa	II	-	LC	Nativa		Urosticte benjamini	(Bourcier, 1851)										
						rufas												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
222	Vultur gryphus 32	I	EN	NT	Nativa	Cóndor andino, kuntur,	Falco haliaetus	Linnaeus, 1758										
						cóndor												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
223	Jabiru mycteria	I	NT	LC	Nativa	Jabirú, garzón soldado	Ciconia mycteria	(Lichtenstein, 1819)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
224	Caracara cheriway	II	-	LC	Nativa	Caracara crestado	Falco cheriway	(Jacquin, 1784)										
						Caracara carancho,	Polyborus plancus											
225	Caracara plancus	II	-	LC	Nativa			(J. F. Miller, 1777)										
						guaraguau	Falco plancus											
226	Daptrius ater	II	-	LC	Nativa	Chihuango negro		Vieillot, 1816										
227	Falco columbarius	II	-	LC	Nativa	Halcón esmerejón		Linnaeus, 1758										
228	Falco deiroleucus	II	-	NT	Nativa	Halcón pecho naranja		Temminck, 1825										
229	Falco femoralis	II	-	LC	Nativa	Halcón aplomado		Temminck, 1822										
							Falco madens											
230	Falco peregrinus	I	NT	LC	Nativa	Halcón peregrino		Tunstall, 1771										
							Falco kreyenborgi											
						Halcón caza murciélagos												
231	Falco rufigularis	II	-	LC	Nativa			Daudin, 1800										
232	Falco sparverius	II	-	LC	Nativa	Cernícalo, quillicho		Linnaeus, 1758										
	Herpetotheres																	
233		II	-	LC	Nativa	Huacabó	Falco cachinnans	(Linnaeus, 1758)										
	cachinnans																	
							Daptrius americanus											
234	Ibycter americanus	II	-	LC	Nativa	Caracara vientre blanco		(Boddaert, 1783)										
							Falco americanus											
						Halcón montés de												
235	Micrastur buckleyi	II	-	LC	Nativa		M. melanoleucus buckleyi	Swann, 1919										
						Buckley												
236	Micrastur gilvicollis	II	-	LC	Nativa	Halcón montés de ojo	Sparvius gilvicollis	(Vieillot, 1817)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						blanco	Micrastur ruficollis gilvicollis											
						Halcón montés de dorso												
237	Micrastur mirandollei	II	-	LC	Nativa		Astur mirandollei	(Schlegel, 1862)										
						gris												
238	Micrastur ruficollis	II	-	LC	Nativa	Halcón montés barrado	Sparvius ruficollis	(Vieillot, 1817)										
						Halcón montés												
239	Micrastur semitorquatus	II	-	LC	Nativa		Sparvius semitorquatus	(Vieillot, 1817)										
						acollarado												
240	Milvago chimachima	II	-	LC	Nativa	Chimachima	Polyborus chimachima	(Vieillot, 1816)										
	Phalcoboenus					Caracara cordillerano												
241		II	-	LC	Nativa		Aquila megaloptera	(Meyen, 1834)										
	megalopterus					chinalinda												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Pava aliblanca, pava												
242	Penelope albipennis33	I	CR	CR	Endémica			Taczanowski, 1878										
						de ala blanca												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Gallito de las rocas,												
243	Rupicola peruvianus	II	-	LC	Nativa		Rupicola peruviana	(Latham, 1790)										
						tunqui												
	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Parina grande, flamenco												
244	Phoenicoparrus andinus	II	VU	VU	Nativa		Phoenicopterus andinus	(Philippi, 1854)										
						andino												
		II				Parina chica, flamenco												
245	Phoenicoparrus jamesi		VU	NT	Nativa		Phoenicopterus jamesi	(P. L. Sclater, 1886)										
						andino chico												
246	Phoenicopterus chilensis	II	NT	NT	Nativa	Flamenco chileno		Molina, 1782										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
247	Ramphastos toco	II	NT	LC	Nativa	Tucán toco		P. L. S. Müller, 1776										
		II				Tucán de garganta												
248	Ramphastos tucanus		-	VU	Nativa			Linnaeus, 1758										
						blanca												
		II				Tucán de pico												
249	Ramphastos vitellinus		-	VU	Nativa			Lichtenstein, 1823										
						acanalado												
N.°	Especie	Ap.			N/E	Nombre común	Sinónimos	Autor										
			nacional	N														
250	Amazona amazonica	II	-	LC	Nativa	Loro de ala naranja	Psittacus amazonicus	(Linnaeus, 1766)										
251	Amazona farinosa	II	-	NT35	Nativa	Loro harinoso	Psittacus farinosus	(Boddaert, 1783)										
252	Amazona festiva	II	NT	NT36	Nativa	Loro de lomo rojo	Psittacus festivus	(Linnaeus, 1758)										
							Amazona mercenaria											
253	Amazona mercenarius	II	-	LC	Nativa	Loro de nuca escamosa		(Tschudi, 1844)										
							Psittacus mercenarius											
254	Amazona	II	-	LC	Nativa	Loro de corona amarilla	Psittacus ochrocephalus	(Gmelin, 1788)										
N.°	Especie	Ap.			N/E	Nombre común	Sinónimos	Autor										
			nacional	N														
	ochrocephala																	
							Sittace caninde											
						Guacamayo azul y												
255	Ara ararauna	II	-	LC	Nativa		Psittacus ararauna	(Linnaeus, 1758)										
						amarillo												
							Ara caninde											
256	Ara chloropterus	II	NT	LC	Nativa	Guacamayo rojo y verde	Ara chloroptera	G. R. Gray, 1859										
257	Ara macao	I	NT	LC	Nativa	Guacamayo escarlata	Psittacus macao	(Linnaeus, 1758)										
258	Ara militaris	I	-	VU	Nativa	Guacamayo militar	Psittacus militaris	(Linnaeus, 1766)										
						Gucamayo de frente	Psittacus severus											
259	Ara severus	II	-	LC	Nativa			(Linnaeus, 1758)										
						castaña	Ara severa											
						Cotorra de cabeza	Eupsittula weddellii											
260	Aratinga weddellii	II	-	LC	Nativa			(Deville, 1851)										
						oscura	Conurus weddellii											
261	Bolborhynchus lineola	II	-	LC	Nativa	Perico barrado	Psittacula lineola	(Cassin, 1853)										
							Bolborhynchus andicolus											
							Psittacula andicola											
	Bolborhynchus					Perico andino, catita												
262		II	-	LC	Nativa		Psilopsiagon aurifrons	(Souancé, 1856)										
	orbygnesius					andina												
							orbygnesius											
							Myiopsitta orbygnesia											
							Brotogeris gustavi											
263	Brotogeris cyanoptera	II	-	LC	Nativa	Perico de ala cobalto		(Pelzeln, 1870)										
							Sittace cyanoptera											
							Psittacus pyrrhopterus											
264	Brotogeris pyrrhoptera	II	EN	EN	Nativa	Perico de mejilla gris		(Latham, 1801)										
							Brotogeris pyrrhopterus											
	Brotogeris																	
265		II	-	LC	Nativa	Perico tui	Psittacus sanctithomae	(P. L. S. Müller, 1776)										
	sanctithomae																	
266	Brotogeris versicolurus	II	-	LC	Nativa	Perico de ala amarilla	Psittacus versicolurus	(P. L. S. Müller, 1776)										
267	Deroptyus accipitrinus	II	NT	LC	Nativa	Loro de abanico	Psittacus accipitrinus	(Linnaeus, 1758)										
268	Diopsittaca nobilis	II	-	LC	Nativa	Guacamayo enano	Psittacus nobilis	(Linnaeus, 1758)										
N.°	Especie	Ap.			N/E	Nombre común	Sinónimos	Autor										
			nacional	N														
							Ara nobilis											
						Cotorra de frente	Aratinga aurea											
269	Eupsittula aurea	II	-	LC	Nativa			(Gmelin, 1788)										
						dorada	Psittacus aureus											
270	Forpus coelestis	II	-	LC	Nativa	Periquito esmeralda	Agapornis coelestis	(Lesson, 1847)										
							Forpus sclateri											
271	Forpus modestus	II	-	LC	Nativa	Periquito de pico oscuro		(G. R. Gray, 1859)										
							Psittacula sclateri											
						Periquito de cara	Forpus coelestis xanthops											
272	Forpus xanthops	II	VU	VU	Endémica			(Salvin, 1895)										
						amarilla	Psittacula xanthops											
							Forpus crassirostris											
	Forpus						Forpus passerinus											
273			-	LC	Nativa	Periquito de ala azul		(Spix, 1824)										
	xanthopterygius	II					crassirostris Psittacula											
							crassirostris											
	Graydidascalus																	
274		II	-	LC	Nativa	Loro de ala corta	Psittacus brachyurus	(Kuhl, 1820)										
	brachyurus																	
	Hapalopsittaca																	
275		II	VU	LC	Nativa	Loro de ala negra	Pionus melanotis	(Lafresnaye, 1847)										
	melanotis																	
							Hapalopsittaca amazonina											
	Hapalopsittaca																	
276		II	VU	VU	Nativa	Loro de cara roja	pyrrhops	(Salvin, 1876)										
	pyrrhops																	
							Pionopsitta pyrrhops											
								Berlepsch &										
277	Leptosittaca branickii	II	VU	VU	Nativa	Perico de mejilla dorada												
								Stolzmann, 1894										
	Nannopsittaca							O'Neil, Munn &										
278		II	NT	NT	Nativa	Periquito amazónico												
	dachilleae							Franke, 1991										
							Orthopsittaca manilatus											
	Orthopsittaca					Guacamayo de vientre												
279		II	-	LC	Nativa		Psittacus manilatus	(Boddaert, 1783)										
	manilatus					rojo												
							Ara manilata											
N.°	Especie	Ap.			N/E	Nombre común	Sinónimos	Autor										
			nacional	N														
280	Pionites leucogaster	II	-	EN37	Nativa	Loro de vientre blanco	Psittacus leucogaster	(Kuhl, 1820)										
	Pionites						Psittacus melanocephalus											
281		II	-	LC	Nativa	Loro de cabeza negra		(Linnaeus, 1758)										
	melanocephalus						Pionites melanocephala											
						Loro de ala bronceada												
282	Pionus chalcopterus	II	NT	LC	Nativa		Psittacus chalcopterus	(Fraser, 1841)										
283	Pionus menstruus	II	-	LC	Nativa	Loro de cabeza azul	Psittacus menstruus	(Linnaeus, 1766)										
284	Pionus sordidus	II	-	LC	Nativa	Loro de pico rojo	Psittacus sordidus	(Linnaeus, 1758)										
							Psittacus seniloides											
285	Pionus tumultuosus	II	-	LC	Nativa	Loro tumultuoso	Psittacus tumultuosus	(Tschudi, 1844)										
							Pionus seniloides											
						Guacamayo de cabeza	Ara couloni											
286	Primolius couloni	I	VU	VU	Nativa			(P. L. Sclater, 1876)										
						azul	Propyrrhura couloni											
							Bolborhynchus aurifrons											
287	Psilopsiagon aurifrons	II	-	LC	Nativa	Perico cordillerano		(Lesson, 1830)										
							Psittacus aurifrons											
	Psittacara																	
288		II	-	NT	Nativa	Cotorra de cabeza roja	Aratinga erythrogenys	(Lesson, 1844)										
	erythrogenys																	
							Aratinga leucophthalma											
	Psittacara						Psittacus leucophthalmus											
289		II	-	LC	Nativa	Cotorra de ojo blanco		(P. L. S. Müller, 1776)										
	leucophthalmus						Aratinga leucophthalmus											
							Psittacara leucophthalma											
							Aratinga mitrata											
							Aratinga alticola											
290	Psittacara mitratus	II	-	LC	Nativa	Cotorra mitrada		(Tschudi, 1844)										
							Conurus mitratus											
							Psittacara mitrata											
291	Psittacara wagleri	II	-	NT	Nativa	Cotorra de frente	Aratinga wagleri	(G. R. Gray, 1845)										
N.°	Especie	Ap.			N/E	Nombre común	Sinónimos	Autor										
			nacional	N														
						escarlata	Conurus wagleri											
							Pionopsitta barrabandi											
292	Pyrilia barrabandi	II	-	NT	Nativa	Loro de mejilla naranja	Psittacus barrabandi	(Kuhl, 1820)										
							Gypopsitta barrabandi											
293	Pyrrhura albipectus	II	VU	VU	Nativa	Perico de cuello blanco		Chapman, 1914										
							Pyrrhura picta											
							Pyrrhura roseifrons											
294	Pyrrhura lucianii		-		Nativa	Perico de Bonaparte		(Deville, 1851)										
		II		LC			Pyrrhuraamazonum											
							Psittacus pictus											
295	Pyrrhura melanura	II	-	LC	Nativa	Perico de cola marrón	Aratinga melanurus	(Spix, 1824)										
							Pyrrhura parvifrons											
						Perico de frente rosada,	Py  r r  hu  r  ap  i cta											
296	Pyrrhura roseifrons	II	-	LC	Nativa38			(Gray, GR, 1859)										
						cotorra pintada	Pyrrhuraamazonum											
							Psittacus pictus											
297	Pyrrhura rupicola	II	-	NT	Nativa	Perico de gorro negro	Aratinga melanurus	(Tschudi, 1844)										
298	Touit huetii	II	-	VU	Nativa	Periquito de ala roja		(Temminck, 1830)										
299	Touit purpuratus	II	-	LC	Nativa	Periquito de lomo zafiro		Chapman, 1929										
						Periquito de ala												
300	Touit stictopterus	II	VU	VU	Nativa	punteada, periquito de		(Sclater, 1862)										
						alas moteadas												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Pterocnemia pennata											
	Rhea pennata garlepii						garlepii											
301	Rhea pennata	I	CR	NT	Nativa	Suri, ñandú petizo	Pterocnemia pennata	(d'Orbigny, 1834)										
	tarapacensis39						tarapacensis											
							Rhea tarapacensis											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
302	Spheniscus humboldti	I	EN	VU	Nativa	Pingüino de Humboldt		Meyen, 1834										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Lechucita de frente												
303	Aegolius harrisii	II	-	LC	Nativa		Nyctale harrisii	(Cassin, 1849)										
						anteada												
								(Pontoppidan,										
304	Asio flammeus	II	-	LC	Nativa	Lechuza de oreja corta	Strix flammea											
								1763)										
305	Asio stygius	II	-	LC	Nativa	Búho estigio	Nyctalops stygius	(Wagler, 1832)										
							Strix cunicularia											
306	Athene cunicularia	II	-	LC	Nativa	Lechuza terrestre		(Molina, 1782)										
							Speotyto cunicularia											
							Bubo magellanicus											
307	Bubo virginianus	II	-	LC	Nativa	Búho americano		(Gmelin, 1788)										
							Strix virginiana											
							Strix albitarsis											
308	Ciccaba albitarsis	II	-	LC	Nativa	Búho rufo bandeado	Ciccaba albitarsus	(Bonaparte, 1850)										
							Syrnium albitarse											
309	Ciccaba huhula	II	-	LC	Nativa	Búho negro bandeado	Strix huhula	(Daudin, 1800)										
310	Ciccaba nigrolineata		-		Nativa	Búho blanco y negro	Strix nigrolineata	(Sclater, 1859)										
		II		LC														
							Strix virgata											
311	Ciccaba virgata	II	-	LC	Nativa	Búho café		(Cassin, 1850)										
							Syrnium virgatum											
						Lechucita de las												
312	Glaucidium bolivianum	II	-	LC	Nativa			König, 1991										
						yungas												
313	Glaucidium brasilianum	II	-	LC	Nativa	Lechucita ferruginosa	Strix brasiliana	(Gmelin, 1788)										
314	Glaucidium hardyi	II	-	LC	Nativa	Lechucita amazónica		Vielliard, 1989										
315	Glaucidium jardinii		-	LC	Nativa	Lechucita andina	Phalaenopsis jardinii	(Bonaparte, 1855)										
								Robbins & Howell,										
316	Glaucidium parkeri	II	-	LC	Nativa	Lechucita subtropical												
								1995										
317	Glaucidium peruanum	II	-	LC	Nativa	Lechucita peruana		König, 1991										
318	Lophostrix cristata	II	-	LC	Nativa	Búho penachudo	Strix cristata	(Daudin, 1800)										
						Lechuza de garganta												
319	Megascops albogularis	II	-	LC	Nativa		Otus albogularis	(Cassin, 1850)										
						blanca												
							Otus choliba											
320	Megascops choliba	II	-	LC	Nativa	Lechuza tropical		(Vieillot, 1817)										
							Strix choliba											
						Lechuza vermiculada,												
321	Megascops guatemalae40	II	-	LC	Nativa		Otus guatemalae	(Sharpe, 1875)										
						autillo guatemalteco												
							Ciccaba minima											
322	Megascops ingens	II	-	LC	Nativa	Lechuza rojiza	Otus minimus / Otus ingen	(  Sa  l vin, 1897)										
							Scops ingens											
					Endémic													
323	Megascops koepckeae	II	-	LC		Lechuza de Koepcke	Otus koepckeae	Hekstra, 1982										
					a													
						Lechuza de bosque de		Weske &										
324	Megascops marshalli	II	NT	NT	Nativa		Otus marshalli											
						neblina		Terborgh, 1981										
								Fitzpatrick &										
325	Megascops petersoni	II	-	LC	Nativa	Lechuza canela	Otus petersoni											
								O'Neill, 1986										
								Bangs & Noble,										
326	Megascops roboratus	II	-	LC	Nativa	Lechuza peruana	Otus roboratus											
								1918										
						Lechuza de vientre												
327	Megascops watsonii	II	-	LC	Nativa		Otus usta	(Cassin, 1848)										
						leonado												
							Otus watsonii											
							Asio clamator											
328	Pseudoscops clamator	II	-	LC	Nativa	Búho listado	Bubo clamator	(Vieillot, 1808)										
							Rhinoptynx clamator											
						Búho de vientre												
329	Pulsatrix melanota	II	-	LC	Nativa		Noctua melanota	(Tschudi, 1844)										
						bandeado												
330	Pulsatrix perspicillata	II	-	LC	Nativa	Búho de anteojos	Strix perspicillata	(Latham, 1790)										
					Endémic			O'Neill & Graves,										
331	Xenoglaux loweryi	II	EN	EN		Lechucita bigotona												
					a			1977										
						Lechuza de	Strix alba											
332	Tyto alba	II	-	LC	Nativa			(Scopoli, 1769)										
						campanario	Tyto detorta											
N.°	Especie Ap.			UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
	Carcharhinus							(Müller & Henle,										
333	falciformis42	II	-	NT	Nativa	Tiburón sedoso	Carcharias falciformis	1839)										
							Carcharius insularum											
							Carcharius obtusus											
						Tiburón oceánico	Pterolamiops budkeri											
334	Carcharhinus longimanus	II	-	VU	Nativa	Tiburón oceánico de puntas	Pterolamiops	(Poey, 1861)										
						blancas	longimanus											
							Pterolamiops											
							magnipinnis											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Cestracion leeuwenii											
							Cestracion oceánica	(Griffith & Smith,										
335	Sphyrna lewini	II	-	EN	Nativa	Tiburón martillo común												
							Sphyrna diplana	1834)										
							Zygaena erythraea											
			-															
336	Sphyrna mokarran	II		EN	Nativa	Tiburón martillo gigante	Zygaena mokarran	(Rüppell, 1837)										
			-															
337	Sphyrna zygaena	II		VU	Nativa	Tiburón martillo liso		(Linnaeus, 1758)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Tiburón zorro pelágico,												
338	Alopias pelagicus	II	-	VU	Nativa			Nakamura, 1935										
						rabudo												
339	Alopias superciliosus	II	-	VU	Nativa	Tiburón zorro ojón, rabudo	Alopecias superciliosus	Lowe, 1841										
						Tiburón zorro común,												
340	Alopias vulpinus	II	-	VU	Nativa	adiamantado, rabudo,	Squalus vulpinus	(Bonnaterre, 1788)										
						pichirrata												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							C. blainvillei / C. maccoyi											
							Halsydrus pontoppidani											
34						Tiburón peregrino												
	Cetorhinus maximus	II	-	VU	Nativa		Polyprosopus macer	(Gunnerus, 1765)										
1						tiburón canasta												
							Tetroras angiova											
							Selachus pennantii											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Carcharodon apensis											
							C. smithi / C.albimors											
	Carcharodon						Carcharias maso / C.											
342		II	-	VU	Nativa	Tiburón blanco		(Linnaeus, 1758)										
	carcharias						vulgarisC.											
							rondeletti / C. lamia											
							C.  atwoodi / C. verus											
							Lamna philippi / L											
							.philippii											
							L. punctate / L. whitleyi											
							Oxyrhina daekayi											
							Selanonius walker											
343	Lamna nasus	II	-	VU	Nativa	Tiburón cailón	Squalus cornubicus	Bonnaterre, 1788										
							S.cornubiensis / S.											
							glaucus											
							S. monensis / S.											
							pennanti											
							S. selanonus											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Manta Cornuda, manta												
						diablo, manta gigante,	Manta hamiltoni											
344	Manta birostris	II	-	VU	Nativa			(Walbaum, 1792)										
						manta raya, manta	Raja birostris											
						voladora												
							Cephaloptera											
						Manta de espina, manta												
345	Mobula japanica	II	-	NT	Nativa		japanica	Latham, 1794										
						de aguijón												
							Mobula japonica											
						Diabolo manta, manta												
								Notarbartolo-di-										
346	Mobula munkiana	II	-	NT	Nativa	raya, manta violácea,												
								Sciara, 1987										
						tortilla												
						Diabolo gigante de												
							Cephaloptera											
347	Mobula tarapacana	II	-	VU	Nativa	Guinea, Raya, raya		(Philippi, 1892)										
							tarapacana											
						cornuda, vaquetilla												
						Chupasangre, diablo	Dicerobatis											
348	Mobula thurstoni	II	-	NT	Nativa	chupasangre, manta	thurstoni	(Lloyd, 1908)										
						diablo,  Murciélago	Mobula lucasana											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Micristodus punctatus											
349	Rhincodon typus	II	-	EN	Nativa	Tiburón ballena		Smith, 1828										
							Rhinodon pentalineatus											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Pristis acutirostris / P.											
							granulosa											
350	Pristis pectinata45	I	-	CR	Nativa	Pez sierra	P. megalodon / P. serra	Latham, 1794										
							P. woermanni											
							Pristobatus occa											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
351	Chrysocyon brachyurus	II	-	NT	Nativa	Lobo de crin	Canis brachyurus	(Illiger, 1815)										
						Zorro andino, zorro	Dusicyon culpaeus											
352	Lycalopex culpaeus	II	-	LC	Nativa			(Molina, 1782)										
						colorado, zorro culpeo	Pseudalopex culpaeus											
							Dusicyon griseus											
353	Lycalopex griseus	II	DD	LC	Nativa	Zorro gris		(Gray, 1837)										
							Pseudalopex griseus											
354	Speothos venaticus	I	-	NT	Nativa	Zorro vinagre, sachaperro		Lund, 1842										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Felis colocolo											
						Gato del pajonal, chinchay,												
355	Leopardus colocolo	II	DD	NT	Nativa		Oncifelis colocolo	(Molina, 1782)										
						oscollo												
							Lynchailurus colocolo											
							Leopardus jacobitus											
356	Leopardus jacobita46	I	EN	EN	Nativa	Gato andino, gato montés	Oreailurus jacobita	(Cornalia, 1865)										
							Felis jacobita											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Ocelote, tigrillo, gato onza,												
357	Leopardus pardalis	I	-	LC	Nativa		Felis pardalis	(Linnaeus, 1758)										
						matsonsori												
						Gato tigre común, tigrino,												
358	Leopardus tigrinus	I	DD	VU	Nativa		Felis tigrina	(Schreber, 1775)										
						oncilla												
359	Leopardus wiedii	I	DD	NT	Nativa	Huamburushu, margay	Felis wiedii	(Schinz, 1821)										
						Jaguar, otorongo, uturuncu,												
360	Panthera onca	I	NT	NT	Nativa		Felis onca	(Linnaeus, 1758)										
						puágkat, jenocri												
						Puma, león, lluichu-puma,												
361	Puma concolor	II	NT	LC	Nativa		Felis concolor	(Linnaeus, 1771)										
						kirajari matsonsori												
						Yaguarundi, jaguarundi,												
							Felis yaguarondi	(É. Geoffroy Saint-										
362	Puma yagouaroundi	II	-	LC	Nativa	yahuarundi, eira, postari,	Herpailurus yaguarondi47	Hilaire, 1803)										
						matsonsori												
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Chancho marino,												
